ra,dec,sobject_id,gaiadr3_source_id,tmass_id,snr_px_ccd3,flag_sp,flag_fe_h,c_fe,e_c_fe,flag_c_fe,o_fe,e_o_fe,flag_o_fe,mg_fe,e_mg_fe,flag_mg_fe,si_fe,e_si_fe,flag_si_fe,fe_h,e_fe_h,al_fe,e_al_fe,flag_al_fe,ca_fe,e_ca_fe,flag_ca_fe,ba_fe,e_ba_fe,flag_ba_fe,teff,logg,age,mass,rv_gaia_dr3,rv_comp_1,e_rv_comp_1,parallax,parallax_error,phot_g_mean_mag,Mg_Si,hab8,dist,parallax_g,phot_g_mean_mag_g,ruwe,non_single_star,has_planet,constellation,actionable,main_id,nbref,hd_hip
345.0387,-6.0794444,201006002101216,2634966799782787584,b'23000926-0604459',361.72574,0,0,-0.08780777,0.020771055,32,0.10799529,0.028405424,0,0.017687455,0.0125677865,0,0.0075614266,0.00580533,0,0.045972813,0.053527642,0.032910243,0.018934382,0,0.030140864,0.018972121,0,0.10519647,0.026712568,0,5907.12,4.371165,5.1898446,1.0206813,10.393139,10.457712,0.21650608,7.695504,0.014355499,9.943742,1.0235899859056643,0.9923914331934592,129.94600483607053,7.66255928091161,9.943742,0.94085395,0,False,Aquarius,True,HD 217340,10,HD 217340
69.17225,-62.91497,161217003101009,4677014433801899392,b'04364134-6254539',181.56377,0,0,-0.02498071,0.029745096,32,0.1713522,0.038107533,0,0.010866895,0.019047813,0,-0.013527195,0.010003494,0,-0.0075994134,0.05442729,-0.011797264,0.02548032,0,0.0020745136,0.019198453,0,0.025967292,0.030143645,0,5640.4355,4.489334,4.9176683,0.92786527,17.621048,17.508493,0.21034883,9.559561,0.010105146,10.039541,1.0577769278791678,0.9921674773952948,104.60731408063612,9.55249130019326,10.039541,0.8834582,0,False,Dorado,True,CPD-63   349,7,
231.35184,-14.088639,200528002601375,6266047329961009408,b'15252437-1405184',168.31458,0,0,-0.05334069,0.032325972,32,0.14645317,0.044304434,0,-0.009800993,0.017916828,0,0.006671503,0.010968829,0,0.028212301,0.055992518,0.1106922,0.03268486,0,0.011133308,0.024644999,0,0.050527252,0.037176203,0,5889.0044,4.3893046,4.816395,1.0166025,38.362835,38.979176,0.22067095,5.8003206,0.016451472,10.758207,0.9627809842515846,0.9914165792401612,172.4042633091695,5.7677305518978095,10.758207,0.9855503,0,False,Libra,True,TYC 5606-1113-1,4,
265.893,-50.48775,220322002201285,5946498361543836928,b'17433432-5029155',115.30381,0,0,-0.0357447,0.036417644,32,0.09021026,0.055222075,0,0.0034075677,0.022577738,0,-0.004887484,0.014667176,0,-0.030732349,0.057427417,0.006317511,0.043798883,0,0.036871813,0.02922305,0,0.109890856,0.04680723,0,5903.805,4.399247,4.837985,1.0011591,33.480854,33.13272,0.21461624,5.370718,0.015960842,10.942551,1.0192836354714874,0.991384927374343,186.1948439668588,5.341633201879438,10.942551,0.9161164,0,False,Ara,True,TYC 8351-1776-1,1,
80.54938,-66.11058,180101002601365,4660544333766391424,b'05221186-6606380',139.70683,0,0,-0.02234795,0.04114857,32,0.055632513,0.05860472,0,0.012189545,0.017432239,0,0.011630684,0.010746554,0,-0.029348731,0.05683904,-0.00021235645,0.0347589,0,-0.011857268,0.026808824,0,0.10381409,0.03937328,0,5739.0186,4.478076,4.2042584,0.9555282,36.731552,37.23238,0.21632959,5.6616035,0.012440618,11.027132,1.0012876533222164,0.9913680789520726,176.6284057158012,5.64924339559545,11.027132,0.9181007,0,False,Dorado,True,HD 271200,11,HD 271200
349.9766,-7.367472,200810001101045,2630796837510460416,b'23195428-0722029',230.87935,0,0,-0.06984407,0.02572827,32,0.040131234,0.033752672,0,0.019133776,0.014559903,0,0.008236282,0.00790219,0,-0.019275084,0.05557721,-0.008027732,0.02444631,0,-0.0017471351,0.021782234,0,0.09865952,0.033016246,0,5900.065,4.411916,4.435402,1.0043758,-9.599568,-9.0656,0.20764174,6.623299,0.02120897,10.346186,1.0254098714378896,0.9911042011418684,150.98216160858811,6.591106120538463,10.346186,1.1359316,0,False,Aquarius,True,BD-08  6091,2,
210.82742,-15.379945,150409006601056,6300979810806953216,b'14031858-1522478',154.85995,0,0,-0.04720112,0.028140588,32,0.12464984,0.040802896,0,0.0031841323,0.016492482,0,0.0028639343,0.009783978,0,0.004728906,0.055438865,0.02029267,0.03178656,0,-0.035766017,0.027562391,0,-0.028773982,0.041894328,0,5892.549,4.336818,6.7173796,0.99904567,11.190076,11.770909,0.21238016,6.6654654,0.017252296,10.267581,1.0007375550016304,0.9910369520989836,150.02703337114315,6.632780399097636,10.267581,0.9655017,0,False,Virgo,True,HD 122625,8,HD 122625
292.3245,-24.323334,160529005901330,6771181697822279936,b'19291789-2419241',322.86227,0,0,-0.054776855,0.022159327,32,0.04338031,0.02801022,0,0.00842268,0.0122480625,0,-0.009726445,0.006736325,0,-0.0032284632,0.055037864,0.07108322,0.019482331,0,0.026011525,0.019537928,0,-0.03254714,0.029216992,0,5873.5054,4.367928,6.374792,0.9837566,-27.769753,-27.346546,0.2178707,13.415716,0.018347071,8.777487,1.042675394512326,0.9910268582282452,74.53944314265448,13.381447712927608,8.777487,1.0718958,0,False,Sagittarius,True,HD 183193,8,HD 183193
345.32037,-6.086,201006002101275,2634917910170903040,b'23011684-0605085',272.50034,0,0,-0.04440614,0.062857546,32,0.1054853,0.03338973,0,0.028772749,0.014665763,0,0.005312428,0.008477749,0,-0.06159004,0.056055263,0.031728566,0.02343736,0,0.04900188,0.021130927,0,0.047025353,0.030676829,0,5949.2334,4.3114095,7.0970783,0.9910023,11.728533,12.303306,0.22350933,6.3675623,0.02471691,10.203155,1.0555050633567011,0.9903268199569376,157.04597032368258,6.335050081915815,10.203155,0.9102271,0,False,Aquarius,True,BD-06  6123,4,
346.272,-5.8094444,201006002101376,2634849942312584960,b'23050529-0548342',132.24199,0,0,0.03591067,0.03609509,32,0.07499065,0.052029565,0,-0.0012307018,0.021319153,0,-0.0013054255,0.0148824975,0,-0.058747478,0.057067018,-0.008667305,0.040350795,0,0.027671313,0.028426247,0,0.06769089,0.04390634,0,5877.201,4.416543,4.83183,0.98799074,9.3242855,9.799244,0.21640888,5.4842496,0.016803898,10.862802,1.0001720724804846,0.9902150085743344,182.340351540528,5.448782752499167,10.862802,0.9028112,0,False,Aquarius,True,TYC 5248-636-1,1,
265.19995,-49.093723,150828002701221,5946718401318557440,b'17404798-4905373',35.880447,0,0,-0.12974311,0.15864593,33,0.111304134,0.10159414,0,0.009965837,0.047225866,0,-0.0005933456,0.034928113,0,0.008239176,0.061802458,0.011357769,0.12203487,0,-0.020075316,0.064867675,0,0.13234639,0.1075621,0,6095.8096,4.4006286,2.3887758,1.0944093,-32.56318,-31.984495,0.27562734,5.540678,0.017501928,10.576866,1.0246113976379698,0.9902110765948476,180.483327130723,5.5100998741595815,10.576866,0.886822,0,False,Ara,True,TYC 8351-2149-1,4,
337.36884,-7.3184443,140707003101041,2621655046865027712,b'22292852-0719064',128.18532,0,0,0.009642905,0.02973805,32,-0.029145934,0.05142114,0,0.009480171,0.014930402,0,-0.008616213,0.0117051955,0,0.04008671,0.056442443,-0.019985914,0.030689158,0,-0.011789724,0.022822116,0,0.03402224,0.037220687,0,5420.632,4.5468287,4.066925,0.8891211,8.147361,8.066078,0.20549536,6.3006277,0.015810912,11.404875,1.042548779032986,0.9901450005093488,158.71434523896724,6.260978737132296,11.404875,0.82115674,0,False,Aquarius,True,TYC 5232-208-1,14,
33.22504,-25.804903,160107003101003,5118120941037811584,b'02125399-2548173',161.83438,0,0,-0.6114864,0.071632646,32,-0.033390146,0.04033004,0,0.00832618,0.032215998,0,-0.017179422,0.013333211,0,0.028029636,0.058367476,0.030301452,0.06888276,0,-0.020424165,0.03605226,0,0.12844962,0.05455305,0,6451.697,4.2040887,2.7999535,1.2325187,13.160092,13.299498,0.28749195,5.385012,0.017530516,9.807679,1.0604876176005196,0.9899241898742775,185.7006075381076,5.362998101188293,9.807679,0.9475203,0,False,Fornax,True,HD  13684A,0,HD  13684A
33.388126,-25.766148,160107003101001,5118127744266022912,b'02133314-2545581',119.76276,0,0,-0.0007952079,0.025700143,32,-0.0032081841,0.053633064,0,-0.021102041,0.023656633,0,0.0020163897,0.011800003,0,0.032927584,0.056114107,0.01398854,0.036842775,0,-0.046215866,0.031730298,0,0.018421896,0.04719406,0,5861.829,4.421532,4.106277,1.0137074,38.58853,39.64095,0.21464509,7.686696,0.018531652,10.093137,0.9481598679153485,0.9898647127489534,130.0949068364353,7.663976286733849,10.093137,0.93171895,0,False,Fornax,True,HD  13767,10,HD  13767
179.87546,-48.241306,151219004601064,5371291464801734912,b'11593011-4814287',189.57031,0,0,-0.13119096,0.06713459,32,0.100857824,0.035394117,0,-0.026210163,0.01565963,0,-0.0060582776,0.008543426,0,0.06437211,0.054927725,0.051146135,0.02705123,0,0.0022631977,0.025383199,0,0.012997255,0.038220312,0,6014.938,4.245878,6.177258,1.0601095,94.603424,94.60039,0.2171622,5.235442,0.015637398,10.367382,0.9546586557600024,0.9895228135874192,191.0058405765932,5.215724935814695,10.367382,0.88888156,0,False,Centaurus,True,CD-47  7291,4,
231.21625,-73.73422,170725001601389,5794269018162164096,b'15245189-7344032',66.58548,0,0,0.034383997,0.042809546,32,-0.12169034,0.09097777,0,0.026416749,0.02379325,0,0.0013475325,0.020583395,0,0.01901352,0.05963843,0.006025225,0.056404416,0,0.0040725637,0.030957952,0,0.116932146,0.054811545,0,5391.511,4.5330133,5.178284,0.88220656,5.113737,5.937265,0.21937357,5.674742,0.01167075,11.622262,1.059422559186051,0.9893123538849355,176.21946513163064,5.64854227171392,11.622262,0.86761427,0,False,Apus,True,TYC 9271-1853-1,3,
230.20337,-14.274472,200528002601206,6308062830354023808,b'15204880-1416282',172.82245,0,0,-0.07948508,0.030669779,32,0.14924759,0.041527294,0,-0.009606928,0.017602915,0,0.0006620772,0.010088906,0,-0.010571234,0.05614793,0.0051211715,0.030620372,0,0.021156335,0.02349159,0,0.12806529,0.03680935,0,5892.8115,4.4182587,4.2883387,1.0044044,-14.948478,-14.792909,0.20923902,5.413729,0.018125419,10.989082,0.9766321004527002,0.9889979972384932,184.71556296962777,5.377655168612511,10.989082,1.0106275,0,False,Libra,True,TYC 5606-566-1,4,
82.45463,3.64575,160811004601279,3236036890058556544,b'05294911+0338447',134.6115,0,0,-0.05347125,0.04643173,32,-0.083263494,0.052139506,0,-0.02072306,0.0234709,0,-0.031454667,0.012582722,0,-0.0044294074,0.057256334,0.02010864,0.03460121,0,0.041433327,0.02873986,0,-0.01708595,0.04236808,0,5835.338,4.403901,5.830839,0.9742864,-22.963205,-22.839342,0.2100174,6.282289,0.023626318,10.7193575,1.0250182715173424,0.9886490741227948,159.17765005716868,6.2531048998270204,10.7193575,1.380935,0,False,Orion,True,TYC  105-2108-1,3,
287.52484,-29.11025,170603006601339,6762301045488196864,b'19100594-2906369',188.81032,0,0,-0.06764864,0.027707122,32,0.18515576,0.027071722,0,-0.027857926,0.015550356,0,-0.00037592463,0.008930312,0,0.05255509,0.054709516,0.023523048,0.026748033,0,0.021447035,0.02445232,0,0.08309815,0.035389952,0,5928.2026,4.294608,6.897551,1.0170542,-42.706676,-42.255413,0.21250135,6.322573,0.018825956,10.287011,0.9386809379741484,0.9883660877914092,158.16345655479185,6.290525350089115,10.287011,1.0047055,0,False,Sagittarius,True,HD 178528B,3,HD 178528B
289.75522,-12.532278,200824000801301,4186063147481113472,b'19190125-1231555',114.21204,0,0,-0.109337784,0.079505615,32,0.12338948,0.04253938,0,-0.015530348,0.023695102,0,0.0069547594,0.015287749,0,-0.014184676,0.05780197,0.026932418,0.032475684,0,-0.022410162,0.031228196,0,0.13058421,0.061481435,0,6182.119,4.226179,4.8804665,1.1049435,-8.227464,-8.604007,0.21744418,5.360293,0.018498596,10.209274,0.94954355989673,0.9881504576735348,186.5569661956912,5.327932885353672,10.209274,1.0297866,0,False,Sagittarius,True,HD 180950,5,HD 180950
289.61075,-26.76314,161006002601136,6768942714192339584,b'19182658-2645472',95.93595,0,0,-0.040317804,0.049425803,32,0.14226462,0.05863778,0,0.04670725,0.018952144,0,0.031461693,0.01326828,0,0.03237466,0.056490276,0.01849179,0.039511204,0,0.008662248,0.032547437,0,0.039033346,0.048883405,0,5777.4634,4.3941917,6.364596,0.9749749,-29.932331,-29.752102,0.21408342,5.2242584,0.016657233,11.052241,1.0357276180025348,0.988093216107945,191.4147278779319,5.187888364985543,11.052241,0.92025346,0,False,Sagittarius,True,TYC 6883-1588-1,2,
130.11441,20.383083,160401002101291,664430104958271616,b'08402745+2022591',163.35347,0,0,0.004619008,0.041319523,32,0.12057408,0.04458203,0,0.026667237,0.020331562,0,0.017604124,0.010349024,0,-0.07439908,0.056849398,0.0032209307,0.028649028,0,-0.020519685,0.025132209,0,0.060941517,0.03736055,0,5776.828,4.423722,6.2754407,0.9472787,-33.801872,-33.26067,0.21110578,8.190216,0.017435558,10.082464,1.0210878605313796,0.9875967986160714,122.09690196204838,8.15727206144441,10.082464,0.88226086,0,False,Cancer,True,BD+20  2167,12,
